Name,ID,Date of birth,Native place,Gender,Academic caution level
Mai Tien D,20193132,2/1/2001,Khanh Hoa,male,0
Nguyen Khanh P,20194042,8/6/2001,Ninh Binh,male,0
Bui Van L,20194952,9/6/2001,Nam Dinh,male,0
Hoang Trung G,20195862,10/7/2001,Ha Noi,male,0
Vu Linh N,20196772,11/7/2001,Hai Duong,female,0
Tran Quoc T,20197682,12/8/2001,Cao Bang,male,0
Nguyen Mai A,20198592,1/8/2002,Lang Son,female,0
Vo Van Tam,20190102,3/1/2001,Khanh Hoa,male,0
Nguyen Hai N,20190107,13/01/2001,Quang Ninh,male,1
Nguyen Quoc A,20194000,01/01/2001,Ha Noi,male,1
Nguyen Quoc K,20194001,01/02/2001,Ha Noi,male,1
Nguyen Van B,20194002,01/03/2001,Ha Noi,male,0
Nguyen Van C,20194003,01/03/2000,Ha Noi,male,0
Nguyen Thi L,20194004,01/11/2001,Hai Duong,female,0
Nguyen Thi M,20194005,01/12/2001,Hai Duong,female,0
Nguyen Lan A,20194006,01/12/2001,Hai Duong,female,0
Nguyen Lan D,20194007,01/08/2001,Hai Duong,male,0
Nguyen Kien C,20194008,01/07/2001,Hai Duong,male,0
Nguyen Phuong N,20194009,01/08/2001,Hai Duong,male,0
Nguyen Phuc T,20194010,01/08/2001,Thanh Hoa,male,0
Nguyen Phuc A,20194011,01/09/2001,Thanh Hoa,male,0
Nguyen Phuc A,20194012,01/10/2001,Thanh Hoa,male,0
Nguyen Kim A,20194013,01/10/2001,Thanh Hoa,female,0
Nguyen Kim K,20194014,01/12/2001,Thanh Hoa,male,0
